,Model,Baseline,Post-FE,US,OS,CW,RWO
0,LightGBM,0.03313395257053443,0.052108052330776373,0.041454260667801654,0.05504605708771604,0.031440428918596774,0.052108052330776373
1,CatBoost,0.04291894886619518,0.02628508840948653,0.03636614760967126,0.023583482302572397,0.02446721685339027,0.02628508840948653
2,Balanced Random Forest,0.04154155726711664,0.041493667128395834,0.028456850256230785,0.03132335492583037,0.027560890039290905,0.024734964540181332
3,Neural Network,0.02373964969824644,0.01247015738989914,0.13756357972792305,0.012865543403685505,0.01247015738989914,0.01247015738989914
4,Logistic Regression,0.018347673817511224,0.038814747128621985,0.154573893845604,0.09003085603949955,0.038814747128621985,0.038814747128621985
